C:\Users_Data\porat\Efrat\2017_Feb_11 Xp_Pv mid log colony starter 17_1_2017\17starter  C 0_5hr Syber CM-EDF_14_26 Oct.daf		
focused & single		
Control 0.5 hour lap		
Object Number	"Length_Component(1, Area, Object(M01, BF, Tight), Descending)"	Legth category
1724	6	3-7
1725	8.333333333	7-12
1726	8.333333333	7-12
1727	7.333333333	7-12
1728	5.666666667	3-7
1729	14.66666667	12+
1730	7.666666667	7-12
1731	4.333333333	3-7
1732	8.333333333	7-12
1733	6.666666667	3-7
1734	6.666666667	3-7
1736	9.333333333	7-12
1737	10.66666667	7-12
1738	9.333333333	7-12
1739	9.333333333	7-12
1740	5.666666667	3-7
1741	9.666666667	7-12
1743	6.333333333	3-7
1745	9.666666667	7-12
1746	7.666666667	7-12
1747	6.333333333	3-7
1748	12	7-12
1750	3	#NAME?
1751	6	3-7
1752	9.333333333	7-12
1753	3	#NAME?
1754	8.666666667	7-12
1755	14.33333333	12+
1756	11.66666667	7-12
1757	11	7-12
1759	22.33333333	12+
1760	12.33333333	12+
1761	7.666666667	7-12
1762	11.66666667	7-12
1763	17	12+
1765	10	7-12
1766	9.333333333	7-12
1767	13	12+
1769	6.333333333	3-7
1771	4	3-7
1772	8	7-12
1773	5.666666667	3-7
1774	6.666666667	3-7
1775	9	7-12
1776	7.666666667	7-12
1777	7.666666667	7-12
1779	9	7-12
1780	5.333333333	3-7
1781	16.66666667	12+
1782	20.33333333	12+
1785	7.333333333	7-12
1787	6.666666667	3-7
1788	18.66666667	12+
1789	9	7-12
1790	8	7-12
1793	5.333333333	3-7
1794	9.666666667	7-12
1795	9	7-12
1796	8	7-12
1797	13	12+
1798	15.33333333	12+
1799	9.333333333	7-12
1800	9.666666667	7-12
1803	12.33333333	12+
1806	10	7-12
1808	2.666666667	#NAME?
1809	5.666666667	3-7
1813	16	12+
1816	4.333333333	3-7
1818	9	7-12
1819	4.666666667	3-7
1820	6	3-7
1821	11.33333333	7-12
1822	8	7-12
1824	18.66666667	12+
1825	10	7-12
1826	8	7-12
1827	6.666666667	3-7
1828	18	12+
1829	8.333333333	7-12
1830	16.66666667	12+
1832	7.333333333	7-12
1833	7	3-7
1835	5	3-7
1836	13.33333333	12+
1837	10.33333333	7-12
1838	10.33333333	7-12
1839	6.666666667	3-7
1840	7.333333333	7-12
1841	7	3-7
1842	7.666666667	7-12
1844	7.666666667	7-12
1845	8	7-12
1846	9.333333333	7-12
1848	7.333333333	7-12
1849	9	7-12
1850	5.666666667	3-7
1851	8	7-12
1853	5.666666667	3-7
1855	3.666666667	3-7
1857	9	7-12
1858	3.666666667	3-7
1859	7.333333333	7-12
1860	12.33333333	12+
1861	10	7-12
1862	10	7-12
1864	6.666666667	3-7
1865	7.333333333	7-12
1866	7	3-7
1867	19.66666667	12+
1868	8.666666667	7-12
1869	8	7-12
1870	8	7-12
1871	8.333333333	7-12
1873	35	12+
1874	10.33333333	7-12
1875	6	3-7
1876	8.333333333	7-12
1878	8.333333333	7-12
1879	6.666666667	3-7
1880	6.666666667	3-7
1881	10.66666667	7-12
1882	12.33333333	12+
1883	9	7-12
1884	5.333333333	3-7
1886	6.666666667	3-7
1887	9	7-12
1888	4	3-7
1890	9.333333333	7-12
1891	10	7-12
1894	13.33333333	12+
1895	6.333333333	3-7
1897	12	7-12
1900	6.333333333	3-7
1902	13.33333333	12+
1903	9.333333333	7-12
1904	6.333333333	3-7
1905	13	12+
1907	22.66666667	12+
1911	8	7-12
1913	8	7-12
1914	10.33333333	7-12
1915	21.33333333	12+
1917	9.333333333	7-12
1918	4.666666667	3-7
1921	7.666666667	7-12
1922	9.666666667	7-12
1923	12	7-12
1924	11.66666667	7-12
1925	8.666666667	7-12
1927	9	7-12
1929	33	12+
1930	7	3-7
1931	4.666666667	3-7
1932	10.66666667	7-12
1933	10	7-12
1934	9	7-12
1935	4.333333333	3-7
1936	9.666666667	7-12
1937	17	12+
1938	7.333333333	7-12
1939	7	3-7
1941	10.33333333	7-12
1942	11.33333333	7-12
1943	7	3-7
1944	6.666666667	3-7
1946	11	7-12
1948	10.33333333	7-12
1949	8.666666667	7-12
1950	7	3-7
1953	8.333333333	7-12
1954	9.333333333	7-12
1955	5.333333333	3-7
1957	8	7-12
1960	16	12+
1961	10.66666667	7-12
1962	5.333333333	3-7
1963	24.66666667	12+
1964	11	7-12
1965	8	7-12
1966	3.333333333	3-7
1967	15	12+
1968	10.33333333	7-12
1969	7	3-7
1970	53	12+
1971	9.666666667	7-12
1972	10.33333333	7-12
1973	5.333333333	3-7
1974	3.333333333	3-7
1975	6.333333333	3-7
1976	19	12+
1977	6	3-7
1978	10	7-12
1982	19	12+
1983	10.33333333	7-12
1985	7	3-7
1986	7.666666667	7-12
1987	21.66666667	12+
1989	5.666666667	3-7
1990	8.333333333	7-12
1991	6.666666667	3-7
1992	8.666666667	7-12
1994	12.33333333	12+
1996	8.333333333	7-12
1997	10.66666667	7-12
1998	17.66666667	12+
1999	18.33333333	12+
2000	8	7-12
2002	6.666666667	3-7
2004	17	12+
2005	7.666666667	7-12
2007	7	3-7
2008	4	3-7
2009	9	7-12
2010	8.333333333	7-12
2011	14	12+
2012	8	7-12
2014	7.333333333	7-12
2015	16.66666667	12+
2016	4.666666667	3-7
2017	9.666666667	7-12
2019	3	#NAME?
2020	10.66666667	7-12
2021	10.66666667	7-12
2022	1.333333333	#NAME?
2023	18.33333333	12+
2024	13.66666667	12+
2026	3.333333333	3-7
2027	6.333333333	3-7
2028	10.33333333	7-12
2030	8	7-12
2033	9.333333333	7-12
2036	15	12+
2037	9.333333333	7-12
2038	5	3-7
2039	6.666666667	3-7
2040	9	7-12
2041	4.333333333	3-7
2043	3.333333333	3-7
2044	6.333333333	3-7
2048	5	3-7
2049	9.333333333	7-12
2050	9.666666667	7-12
2051	11.33333333	7-12
2053	7.333333333	7-12
2054	9.333333333	7-12
2055	10.66666667	7-12
2057	7.666666667	7-12
2058	6.333333333	3-7
2059	9	7-12
2062	11.33333333	7-12
2063	5.666666667	3-7
2064	14	12+
2066	4.666666667	3-7
2067	13.33333333	12+
2070	7	3-7
2071	7.333333333	7-12
2072	8	7-12
2074	7.666666667	7-12
2076	14	12+
2077	7.666666667	7-12
2078	6.666666667	3-7
2079	5.666666667	3-7
2081	8.666666667	7-12
2082	6.333333333	3-7
2083	6	3-7
2084	10	7-12
2085	6.333333333	3-7
2087	28.66666667	12+
2088	15.33333333	12+
2089	8.333333333	7-12
2090	10.33333333	7-12
2091	16.33333333	12+
2093	37	12+
2095	7	3-7
2096	10	7-12
2097	10	7-12
2098	10.66666667	7-12
2099	7	3-7
2100	13.66666667	12+
2101	4.333333333	3-7
2103	7	3-7
2104	6.333333333	3-7
2105	9.666666667	7-12
2108	8.333333333	7-12
2109	12	7-12
2110	13	12+
2112	10.33333333	7-12
2113	6.333333333	3-7
2117	6.666666667	3-7
2118	10.66666667	7-12
2119	7.333333333	7-12
2121	3	#NAME?
2122	6.666666667	3-7
2123	8	7-12
2124	7.666666667	7-12
2125	7.333333333	7-12
2126	6.333333333	3-7
2128	27.66666667	12+
2129	8.666666667	7-12
2132	9.666666667	7-12
2133	15	12+
2134	5.666666667	3-7
2135	4.666666667	3-7
2136	8.333333333	7-12
2137	8.666666667	7-12
2140	9	7-12
2142	7	3-7
2143	3	#NAME?
2144	19.33333333	12+
2145	9.666666667	7-12
2146	11	7-12
2147	14.66666667	12+
2148	13	12+
2149	25.66666667	12+
2150	3.333333333	3-7
2152	7.666666667	7-12
2154	10.33333333	7-12
2155	11	7-12
2156	6	3-7
2158	8.666666667	7-12
2159	17.66666667	12+
2160	20.33333333	12+
2163	6.666666667	3-7
2165	11.33333333	7-12
2167	4.666666667	3-7
2168	13.33333333	12+
2169	12.66666667	12+
2170	16	12+
2171	8	7-12
2172	7.333333333	7-12
2173	6.666666667	3-7
2174	7.333333333	7-12
2176	8.666666667	7-12
2177	9	7-12
2178	11	7-12
2179	10.33333333	7-12
2180	22.33333333	12+
2181	14.66666667	12+
2183	5.666666667	3-7
2184	14.66666667	12+
2185	10	7-12
2187	9	7-12
2188	12.66666667	12+
2189	11.66666667	7-12
2191	10	7-12
2192	18.66666667	12+
2194	10.66666667	7-12
2195	8.666666667	7-12
2196	8.666666667	7-12
2197	9.666666667	7-12
2198	6.666666667	3-7
2199	18.33333333	12+
2200	7	3-7
2201	11	7-12
2202	7.666666667	7-12
2204	18	12+
2205	9.333333333	7-12
2208	6.666666667	3-7
2211	11	7-12
2213	7.666666667	7-12
2214	2	#NAME?
2215	7.333333333	7-12
2216	7.666666667	7-12
2217	6.333333333	3-7
2220	3.666666667	3-7
2221	15.66666667	12+
2222	11	7-12
2223	7.666666667	7-12
2225	7	3-7
2226	15.66666667	12+
2228	12.66666667	12+
2229	11.33333333	7-12
2230	9.666666667	7-12
2231	8.666666667	7-12
2232	29	12+
2233	7.333333333	7-12
2234	8.666666667	7-12
2235	6.666666667	3-7
2236	9.666666667	7-12
2237	7	3-7
2238	11.33333333	7-12
2240	9.666666667	7-12
2241	9.666666667	7-12
2243	6.333333333	3-7
2244	8.666666667	7-12
2245	8.666666667	7-12
2246	8.333333333	7-12
2248	6.333333333	3-7
2250	10.33333333	7-12
2251	27.66666667	12+
2252	10.33333333	7-12
2253	8	7-12
2255	10.33333333	7-12
2256	15	12+
2259	14	12+
2265	9	7-12
2266	6.333333333	3-7
2267	3	#NAME?
2268	6.666666667	3-7
2269	8.333333333	7-12
2270	9.666666667	7-12
2271	5.333333333	3-7
2272	9	7-12
2273	10	7-12
2274	9	7-12
2275	9.333333333	7-12
2276	5.333333333	3-7
2277	8.333333333	7-12
2278	9	7-12
2280	12.33333333	12+
2281	9.333333333	7-12
2282	6.666666667	3-7
2285	4.666666667	3-7
2286	7.666666667	7-12
2288	11	7-12
2289	9.333333333	7-12
2290	7	3-7
2291	7	3-7
2292	4	3-7
2293	6.333333333	3-7
2294	8.333333333	7-12
2298	6.666666667	3-7
2299	7	3-7
2301	9	7-12
2303	8.666666667	7-12
2304	19	12+
2306	4	3-7
2307	11	7-12
2309	11	7-12
2311	8.333333333	7-12
2312	6.333333333	3-7
2313	13.66666667	12+
2314	5.666666667	3-7
2315	8.666666667	7-12
2316	6	3-7
2318	17.33333333	12+
2319	11	7-12
2323	2.333333333	#NAME?
2325	9	7-12
2326	3	#NAME?
2327	16	12+
2329	20.33333333	12+
2330	19.66666667	12+
2332	9.666666667	7-12
2333	8.333333333	7-12
2334	8	7-12
2335	10.66666667	7-12
2336	9.333333333	7-12
2338	13.33333333	12+
2339	9	7-12
2340	7.666666667	7-12
2341	8.666666667	7-12
2342	12.33333333	12+
2344	10.66666667	7-12
2345	8.666666667	7-12
2346	9.333333333	7-12
2347	14.33333333	12+
2348	8.666666667	7-12
2349	20.33333333	12+
2350	11.66666667	7-12
2351	19.33333333	12+
2352	16.33333333	12+
2356	2.666666667	#NAME?
2359	7.333333333	7-12
2360	41.33333333	12+
2362	6.333333333	3-7
2363	5.333333333	3-7
2364	8.333333333	7-12
2365	7.333333333	7-12
2366	14.33333333	12+
2367	12	7-12
2369	9.333333333	7-12
2370	13	12+
2371	9	7-12
2372	24.33333333	12+
2374	11.66666667	7-12
2376	12	7-12
2377	9.666666667	7-12
2380	8.666666667	7-12
2381	10	7-12
2382	10.66666667	7-12
2385	10.33333333	7-12
2386	8	7-12
2388	10.33333333	7-12
2389	9.333333333	7-12
2390	8.666666667	7-12
2391	9.666666667	7-12
2392	13.33333333	12+
2393	7.666666667	7-12
2395	9.666666667	7-12
2397	16.33333333	12+
2398	8.333333333	7-12
2400	6.333333333	3-7
2401	13.33333333	12+
2402	6.666666667	3-7
2403	7.333333333	7-12
2405	16.66666667	12+
2406	7	3-7
2407	18	12+
2408	7.666666667	7-12
2409	5.666666667	3-7
2410	23.66666667	12+
2411	13.33333333	12+
2412	7.333333333	7-12
2413	11.33333333	7-12
2414	9.333333333	7-12
2415	16	12+
2416	13	12+
2417	3.333333333	3-7
2419	10.33333333	7-12
2420	32.33333333	12+
2421	9	7-12
2422	7.333333333	7-12
2423	27.33333333	12+
2424	6.333333333	3-7
2426	14	12+
2427	6.333333333	3-7
2429	8.666666667	7-12
2430	2	#NAME?
2431	9	7-12
2432	5.333333333	3-7
2433	6	3-7
2434	17	12+
2435	8.333333333	7-12
2436	6.666666667	3-7
2437	7.333333333	7-12
2438	10.33333333	7-12
2441	21	12+
2442	9	7-12
2443	6	3-7
2444	10	7-12
2445	10.66666667	7-12
2446	8.666666667	7-12
2447	6.333333333	3-7
2448	8.333333333	7-12
2449	10	7-12
2450	11.66666667	7-12
2451	3.333333333	3-7
2452	17.33333333	12+
2453	10	7-12
2454	46	12+
2455	9.333333333	7-12
2456	12.66666667	12+
2457	10	7-12
2458	37	12+
2459	6.333333333	3-7
2461	13.66666667	12+
2466	9	7-12
2467	7.333333333	7-12
2468	7	3-7
2469	7.666666667	7-12
2470	12	7-12
2472	8	7-12
2473	9.666666667	7-12
2474	9.333333333	7-12
2476	10.66666667	7-12
2477	7.333333333	7-12
2478	8	7-12
2479	4.333333333	3-7
2480	10	7-12
2481	12.33333333	12+
2482	6	3-7
2483	7	3-7
2489	8.333333333	7-12
2490	7	3-7
2491	6	3-7
2492	11.66666667	7-12
2493	11	7-12
2494	17.66666667	12+
2495	9.333333333	7-12
2496	8.666666667	7-12
2498	6.666666667	3-7
2499	7	3-7
2500	10.33333333	7-12
2501	12.33333333	12+
2502	4.333333333	3-7
2506	6.666666667	3-7
2508	10	7-12
2510	6.333333333	3-7
2511	7.666666667	7-12
2512	11	7-12
2513	2.666666667	#NAME?
2514	6.666666667	3-7
2515	7.333333333	7-12
2517	9.666666667	7-12
2521	6	3-7
2523	11.66666667	7-12
2524	16.66666667	12+
2525	6	3-7
2527	3.333333333	3-7
2528	8.666666667	7-12
2529	4.333333333	3-7
2531	11.33333333	7-12
2532	14	12+
2533	11.33333333	7-12
2534	12.66666667	12+
2535	9.666666667	7-12
2538	8	7-12
2539	8.666666667	7-12
2541	5.666666667	3-7
2542	11	7-12
2543	10.66666667	7-12
2545	9.333333333	7-12
2546	3.333333333	3-7
2547	4.333333333	3-7
2548	6.666666667	3-7
2549	12.66666667	12+
2550	7.666666667	7-12
2551	12	7-12
2552	9	7-12
2553	6.666666667	3-7
2554	9.333333333	7-12
2557	10	7-12
2559	26.33333333	12+
2560	8	7-12
2561	24.33333333	12+
2562	6.666666667	3-7
2564	5.666666667	3-7
2565	10.66666667	7-12
2567	10.66666667	7-12
2569	10.66666667	7-12
2570	9	7-12
2571	8.333333333	7-12
2573	9.333333333	7-12
2574	10.66666667	7-12
2576	5.666666667	3-7
2577	6	3-7
2578	10	7-12
2579	8.666666667	7-12
2580	3.333333333	3-7
2581	8	7-12
2582	10.66666667	7-12
2584	9	7-12
2585	6.333333333	3-7
2586	21.66666667	12+
2587	5	3-7
2588	16	12+
2589	5.333333333	3-7
2591	13.66666667	12+
2592	11.33333333	7-12
2593	8	7-12
2594	6.666666667	3-7
2595	2.333333333	#NAME?
2596	10.33333333	7-12
2597	9.333333333	7-12
2601	10	7-12
2603	7.333333333	7-12
2604	4.666666667	3-7
2605	3.333333333	3-7
2606	7	3-7
2607	13	12+
2609	11	7-12
2610	10.66666667	7-12
2613	9	7-12
2614	10.66666667	7-12
2615	9.333333333	7-12
2616	7.333333333	7-12
2617	18	12+
2618	10.33333333	7-12
2620	7	3-7
2621	8.666666667	7-12
2622	14	12+
2623	11.33333333	7-12
2624	5	3-7
2625	8.333333333	7-12
2626	9	7-12
2628	19.33333333	12+
2631	13.66666667	12+
2632	10	7-12
2633	16.66666667	12+
2634	8	7-12
2637	10.33333333	7-12
2638	8.666666667	7-12
2639	9	7-12
2640	7.333333333	7-12
2641	6	3-7
2642	15.33333333	12+
2643	6.333333333	3-7
2644	3	#NAME?
2645	7.666666667	7-12
2646	10.66666667	7-12
2647	10	7-12
2648	5.666666667	3-7
2649	5.666666667	3-7
2652	8	7-12
2653	7.333333333	7-12
2655	8	7-12
2656	3	#NAME?
2657	13.66666667	12+
2658	14.33333333	12+
2659	7	3-7
2660	9.666666667	7-12
2661	11.66666667	7-12
2664	19.66666667	12+
2665	18	12+
2666	10.33333333	7-12
2667	10.33333333	7-12
2668	15.66666667	12+
2669	17	12+
2671	8	7-12
2672	7.333333333	7-12
2673	14.66666667	12+
2674	10	7-12
2675	12.33333333	12+
2676	7.333333333	7-12
2677	9	7-12
2678	6	3-7
2681	7	3-7
2683	8	7-12
2685	7.333333333	7-12
2686	9	7-12
2687	6	3-7
2688	5.666666667	3-7
2691	6.333333333	3-7
2693	10.33333333	7-12
2694	16.66666667	12+
2697	10	7-12
2698	11.33333333	7-12
2699	9.666666667	7-12
2700	12	7-12
2701	8	7-12
2703	14.66666667	12+
2704	6	3-7
2705	12	7-12
2707	10.33333333	7-12
2709	8.666666667	7-12
2710	10.66666667	7-12
2712	12.33333333	12+
2715	7.333333333	7-12
2716	5	3-7
2717	8.333333333	7-12
2718	3.666666667	3-7
2721	14	12+
2722	5.333333333	3-7
2723	6.333333333	3-7
2724	43	12+
2725	8	7-12
2726	15.66666667	12+
2727	7	3-7
2728	13	12+
2729	7.666666667	7-12
2730	7.666666667	7-12
2731	8.333333333	7-12
2732	6	3-7
2733	6	3-7
2737	7.333333333	7-12
2739	9	7-12
2741	11.66666667	7-12
2742	15.33333333	12+
2743	11.66666667	7-12
2744	8	7-12
2745	11.66666667	7-12
2746	3	#NAME?
2747	9.666666667	7-12
2748	13	12+
2749	5.333333333	3-7
2753	5	3-7
2754	15.33333333	12+
2758	13.66666667	12+
2759	7.333333333	7-12
2760	10	7-12
2762	11.66666667	7-12
2763	20	12+
2764	7.666666667	7-12
2765	9	7-12
2770	5	3-7
2771	6.666666667	3-7
2773	10.33333333	7-12
2774	17.33333333	12+
2775	7.666666667	7-12
2776	7.666666667	7-12
2778	8	7-12
2779	7	3-7
2784	10.33333333	7-12
2785	9.666666667	7-12
2787	19.66666667	12+
2788	20	12+
2789	10.33333333	7-12
2790	5	3-7
2792	9.333333333	7-12
2793	7.333333333	7-12
2795	11	7-12
2797	10.66666667	7-12
2798	12	7-12
2799	2.666666667	#NAME?
2800	7.333333333	7-12
2801	7.666666667	7-12
2802	18	12+
2803	8.333333333	7-12
2805	7	3-7
2806	12.33333333	12+
2807	10.66666667	7-12
2808	19.33333333	12+
2809	4	3-7
2810	9	7-12
2811	3.333333333	3-7
2813	9	7-12
2814	9.333333333	7-12
2815	4.333333333	3-7
2816	11.66666667	7-12
2818	6.666666667	3-7
2819	9.666666667	7-12
2820	17	12+
2822	8.333333333	7-12
2823	8	7-12
2824	11.33333333	7-12
2826	8	7-12
2827	14	12+
2828	7.333333333	7-12
2829	7.666666667	7-12
2830	5.666666667	3-7
2831	7.666666667	7-12
2832	4	3-7
2833	21.66666667	12+
2835	9	7-12
2836	8.333333333	7-12
2838	6.333333333	3-7
2839	11	7-12
2840	6	3-7
2841	5.666666667	3-7
2842	9.333333333	7-12
2844	12.33333333	12+
2845	8	7-12
2847	9	7-12
2848	24	12+
2849	11.66666667	7-12
2851	5.333333333	3-7
2852	7.666666667	7-12
2853	9	7-12
2854	9	7-12
2855	6.666666667	3-7
2858	7.333333333	7-12
2861	11	7-12
2862	9.333333333	7-12
2863	11.33333333	7-12
2864	7.333333333	7-12
2865	16.33333333	12+
2866	9.333333333	7-12
2868	28.33333333	12+
2869	9.333333333	7-12
2870	9.666666667	7-12
2871	7	3-7
2872	9.666666667	7-12
2873	17.66666667	12+
2874	7.333333333	7-12
2875	8	7-12
2876	6.666666667	3-7
2877	5.333333333	3-7
2878	5.333333333	3-7
2879	15.66666667	12+
2880	7.666666667	7-12
2882	8.333333333	7-12
2883	4.666666667	3-7
2884	8.333333333	7-12
2885	8.666666667	7-12
2887	7.666666667	7-12
2888	7.666666667	7-12
2889	6.333333333	3-7
2890	4.666666667	3-7
2891	5.666666667	3-7
2892	20.66666667	12+
2893	6.666666667	3-7
2894	10.66666667	7-12
2895	9.333333333	7-12
2896	11.33333333	7-12
2897	6.666666667	3-7
2898	7	3-7
2900	10.66666667	7-12
2901	11.66666667	7-12
2902	9.666666667	7-12
2903	10.33333333	7-12
2905	12.66666667	12+
2906	8	7-12
2907	6.333333333	3-7
2909	11.33333333	7-12
2911	9.333333333	7-12
2912	35.66666667	12+
2914	10	7-12
2915	7.666666667	7-12
2916	9	7-12
2917	6.333333333	3-7
2918	6.666666667	3-7
2919	7.666666667	7-12
2920	11.66666667	7-12
2921	12.33333333	12+
2922	31.66666667	12+
2923	6.666666667	3-7
2924	10.66666667	7-12
2925	12.66666667	12+
2926	2.666666667	#NAME?
2927	15	12+
2928	4.666666667	3-7
2929	10	7-12
2930	8	7-12
2932	10	7-12
2933	6	3-7
2934	5.333333333	3-7
2935	6.666666667	3-7
2936	7.333333333	7-12
2937	6.666666667	3-7
2938	27	12+
2939	9	7-12
2940	7	3-7
2941	13.66666667	12+
2942	13.33333333	12+
2943	6.333333333	3-7
2944	16.33333333	12+
2945	5.666666667	3-7
2948	6.666666667	3-7
2949	8.666666667	7-12
2950	7.333333333	7-12
2952	13	12+
2953	18	12+
2954	4.333333333	3-7
2956	6	3-7
2957	6.333333333	3-7
2958	6.333333333	3-7
2959	9.666666667	7-12
2962	11.66666667	7-12
2963	5.666666667	3-7
2964	6	3-7
2965	12.33333333	12+
2966	9.333333333	7-12
2967	9.333333333	7-12
2968	13.33333333	12+
2969	10.33333333	7-12
2971	6	3-7
2973	8	7-12
2974	8.333333333	7-12
2976	27.66666667	12+
2978	18.33333333	12+
2979	6	3-7
2980	7	3-7
2981	11.66666667	7-12
2982	11.33333333	7-12
2983	9.333333333	7-12
2984	9	7-12
2987	5.666666667	3-7
2988	19.66666667	12+
2989	10.33333333	7-12
2990	6.333333333	3-7
2991	10	7-12
2992	10.66666667	7-12
2993	10.66666667	7-12
2994	13.66666667	12+
2995	9	7-12
2996	9.333333333	7-12
2998	15.66666667	12+
3000	8.333333333	7-12
3001	2.666666667	#NAME?
3005	9.333333333	7-12
3007	7.333333333	7-12
3008	12.66666667	12+
3009	7	3-7
3010	9.333333333	7-12
3012	6	3-7
3013	11	7-12
3014	8.333333333	7-12
3015	3	#NAME?
3016	9	7-12
3018	14.66666667	12+
3019	16.33333333	12+
3020	10.66666667	7-12
3022	5	3-7
3023	8	7-12
3024	15.33333333	12+
3025	5	3-7
3027	9.333333333	7-12
3028	7.333333333	7-12
3030	12	7-12
3031	8.333333333	7-12
3032	5.333333333	3-7
3033	8.333333333	7-12
3038	7.666666667	7-12
3039	9.666666667	7-12
3040	7.666666667	7-12
3041	10	7-12
3044	6.333333333	3-7
3045	7.666666667	7-12
3046	6.666666667	3-7
3047	10	7-12
3048	11.33333333	7-12
3049	7.666666667	7-12
3050	11.33333333	7-12
3051	7.333333333	7-12
3052	31.66666667	12+
3053	12	7-12
3054	15.33333333	12+
3056	7.666666667	7-12
3057	6.666666667	3-7
3058	11	7-12
3061	10	7-12
3062	8	7-12
3063	17	12+
3064	7	3-7
3065	7.666666667	7-12
3066	8.333333333	7-12
3067	7.333333333	7-12
3068	9.666666667	7-12
3070	5.333333333	3-7
3072	7	3-7
3073	20.33333333	12+
3076	6.333333333	3-7
3077	4	3-7
3079	7	3-7
3080	10.33333333	7-12
3081	7.333333333	7-12
3082	6.333333333	3-7
3083	6.333333333	3-7
3084	7.666666667	7-12
3086	12.66666667	12+
3087	8.666666667	7-12
3089	9.333333333	7-12
3090	8	7-12
3091	11	7-12
3092	5.666666667	3-7
3095	6	3-7
3096	8.333333333	7-12
3097	11	7-12
3098	9.333333333	7-12
3099	8.666666667	7-12
3100	12.33333333	12+
3105	6	3-7
3106	9	7-12
3107	8.666666667	7-12
3108	21.33333333	12+
3109	9.333333333	7-12
3110	10.66666667	7-12
3111	14	12+
3112	6.333333333	3-7
3114	11	7-12
3115	7.666666667	7-12
3116	10.33333333	7-12
3117	8.333333333	7-12
3118	8.666666667	7-12
3119	2.666666667	#NAME?
3120	11.66666667	7-12
3121	8	7-12
3122	9	7-12
3124	3.333333333	3-7
3125	10.66666667	7-12
3126	8	7-12
3127	10	7-12
3128	12	7-12
3130	11	7-12
3131	24.66666667	12+
3133	9.333333333	7-12
3135	5.333333333	3-7
3136	6.333333333	3-7
3137	5	3-7
3138	14.66666667	12+
3139	9.666666667	7-12
3140	10	7-12
3141	11.33333333	7-12
3144	10	7-12
3145	15.66666667	12+
3146	5.333333333	3-7
3148	17	12+
3149	3	#NAME?
3150	7	3-7
3151	4.666666667	3-7
3153	6.666666667	3-7
3154	3.666666667	3-7
3155	8	7-12
3156	8.333333333	7-12
3159	10.33333333	7-12
3160	6	3-7
3161	9.333333333	7-12
3163	9.333333333	7-12
3164	10.66666667	7-12
3165	15.66666667	12+
3166	7.333333333	7-12
3168	10.66666667	7-12
3169	9	7-12
3170	13.33333333	12+
3171	11.33333333	7-12
3172	9.333333333	7-12
3173	8.333333333	7-12
3174	5.333333333	3-7
3175	7	3-7
3176	10	7-12
3177	8.666666667	7-12
3178	14.33333333	12+
3179	11	7-12
3180	11	7-12
3181	8.666666667	7-12
3182	6	3-7
3183	17	12+
3184	10	7-12
3185	10.66666667	7-12
3186	34	12+
3187	15	12+
3188	11	7-12
3189	6.666666667	3-7
3192	13	12+
3194	11.66666667	7-12
3196	6	3-7
3197	7.333333333	7-12
3199	5.333333333	3-7
3200	8	7-12
3201	6	3-7
3202	12	7-12
3203	9.333333333	7-12
3204	14.66666667	12+
3205	9.333333333	7-12
3206	13.66666667	12+
3207	6.666666667	3-7
3208	6	3-7
3209	2.666666667	#NAME?
3212	7	3-7
3213	6.666666667	3-7
3216	11	7-12
3218	9.333333333	7-12
3219	9.666666667	7-12
3220	5	3-7
3222	9.666666667	7-12
3223	14	12+
3224	8	7-12
3225	8.666666667	7-12
3226	8	7-12
3227	4.333333333	3-7
3228	8	7-12
3229	10.66666667	7-12
3230	5.333333333	3-7
3231	7.333333333	7-12
3233	8	7-12
3234	14.33333333	12+
3236	14	12+
3237	7.666666667	7-12
3238	11.33333333	7-12
3239	11.33333333	7-12
3240	10.66666667	7-12
3241	19.33333333	12+
3242	8.666666667	7-12
3243	6.333333333	3-7
3244	7.333333333	7-12
3245	6	3-7
3246	9.333333333	7-12
3248	5.666666667	3-7
3250	7	3-7
3251	10	7-12
3252	10	7-12
3254	18.33333333	12+
3256	5.333333333	3-7
3257	10	7-12
3259	9	7-12
3260	8	7-12
3261	8	7-12
3262	10.33333333	7-12
3263	10.33333333	7-12
3264	13	12+
3266	22.33333333	12+
3267	13	12+
3268	6	3-7
3269	10.66666667	7-12
3270	4	3-7
3271	55.66666667	12+
3272	8	7-12
3273	9.333333333	7-12
3274	8.666666667	7-12
3275	8.666666667	7-12
3276	8	7-12
3278	8.666666667	7-12
3279	9	7-12
3280	9.333333333	7-12
3281	9.666666667	7-12
3282	10	7-12
3283	12.66666667	12+
3284	8	7-12
3286	4	3-7
3287	9.333333333	7-12
3288	6.666666667	3-7
3291	8.666666667	7-12
3292	28.66666667	12+
3294	24.33333333	12+
3295	23.66666667	12+
3296	8.333333333	7-12
3297	13.33333333	12+
3298	14.66666667	12+
3299	8.666666667	7-12
3300	7	3-7
3301	50.66666667	12+
3302	11.66666667	7-12
3303	9.666666667	7-12
3304	9.333333333	7-12
3308	8.333333333	7-12
3309	7.666666667	7-12
3310	6.666666667	3-7
3311	10.33333333	7-12
3312	6.333333333	3-7
3313	10	7-12
3315	9	7-12
3317	8.333333333	7-12
3318	10.66666667	7-12
3319	10.33333333	7-12
3321	6	3-7
3322	7.333333333	7-12
3323	9	7-12
3324	6.666666667	3-7
3325	11	7-12
3326	6.666666667	3-7
3328	8.666666667	7-12
